iter	Logloss
0	0.5174748347
1	0.4002172749
2	0.3222815647
3	0.2673045671
4	0.231199042
5	0.205233446
6	0.1884008527
7	0.1779900913
8	0.1700883183
9	0.1645379105
10	0.1604828081
11	0.1573146404
12	0.1549432776
13	0.1531895616
14	0.1516449818
15	0.1502446538
16	0.1494740376
17	0.1488784361
18	0.1482510087
19	0.1476123961
20	0.1472399146
21	0.1468386095
22	0.1465835276
23	0.1463337446
24	0.1460549484
25	0.1459146484
26	0.1457597377
27	0.1455577621
28	0.1453554314
29	0.145217226
30	0.1451053133
31	0.1449921862
32	0.1448725787
33	0.1447367839
34	0.1446136418
35	0.1445224319
36	0.1443749227
37	0.1442799264
38	0.1441928256
39	0.1440913768
40	0.144019488
41	0.1439084581
42	0.1437996469
43	0.1437141631
44	0.1435984525
45	0.1435258985
46	0.1434404579
47	0.1433899151
48	0.143319289
49	0.1432449719
50	0.1431850365
51	0.1431373803
52	0.1430573951
53	0.1429216858
54	0.1428507138
55	0.1427729467
56	0.1426966795
57	0.1426291432
58	0.1425730139
59	0.1425101095
60	0.1424333101
61	0.1423736598
62	0.1423150891
63	0.1422170942
64	0.1421288995
65	0.1420729211
66	0.1420025414
67	0.1419640522
68	0.1418856993
69	0.1418154167
70	0.1417440399
71	0.1417014376
72	0.1416358698
73	0.141603615
74	0.1415427241
75	0.1414858029
76	0.1414210951
77	0.1413801317
78	0.1413234016
79	0.141278243
80	0.1412203576
81	0.141158203
82	0.1411208498
83	0.1410572235
84	0.1410156924
85	0.1409620786
86	0.1409167466
87	0.1408685473
88	0.1408066029
89	0.1407571963
90	0.1407083303
91	0.1406518334
92	0.1406130398
93	0.1405642816
94	0.1404971816
95	0.1404479659
96	0.1403824552
97	0.1403257048
98	0.1402736547
99	0.1402427718
100	0.1402033534
101	0.1401432024
102	0.1400776143
103	0.1400168767
104	0.139969714
105	0.1398993734
106	0.1398485063
107	0.1398143408
108	0.1397508324
109	0.1396745257
110	0.1396149212
111	0.1395607577
112	0.1395004372
113	0.1394636203
114	0.1394198774
115	0.1393663919
116	0.1393221435
117	0.1392776562
118	0.1392367311
119	0.1391623696
120	0.1391231282
121	0.139076727
122	0.1390495391
123	0.1389820275
124	0.138928989
125	0.1388675776
126	0.1388140364
127	0.1387632785
128	0.1387020188
129	0.1386751042
130	0.1386327002
131	0.1385760392
132	0.1385155665
133	0.1384688775
134	0.1384437185
135	0.138397079
136	0.1383593127
137	0.1383032763
138	0.1382618734
139	0.1382005695
140	0.1381566065
141	0.1381286677
