iter	RMSE
349	48.6255061
350	48.62368326
351	48.61958066
352	48.61715403
353	48.61590419
354	48.61256399
355	48.61095205
356	48.61050723
357	48.60756733
358	48.60482123
359	48.60220889
360	48.59635073
361	48.59335703
362	48.58791556
363	48.58575636
364	48.58285599
365	48.5770109
366	48.57142716
367	48.56988587
368	48.5654518
369	48.56266074
370	48.5598808
371	48.55422645
372	48.55333397
373	48.54975378
374	48.54372732
375	48.54290075
376	48.53997807
377	48.53802583
378	48.53442337
379	48.53246013
380	48.53084805
381	48.52824038
382	48.52759876
383	48.52620864
384	48.52348556
385	48.52117154
386	48.51939666
387	48.51512372
388	48.51323568
389	48.5115838
390	48.51024555
391	48.50878301
392	48.50686676
393	48.50637022
394	48.50494674
395	48.50226061
396	48.4993109
397	48.49826645
398	48.4969539
399	48.49536803
400	48.49406607
401	48.49287271
402	48.49163881
403	48.48813566
404	48.48701343
405	48.48151307
406	48.4786664
407	48.47555548
408	48.47350344
409	48.47119988
410	48.46872179
411	48.46686766
412	48.46545207
413	48.46395805
414	48.46053294
415	48.45991923
416	48.45715065
417	48.45494079
418	48.45317681
419	48.44878981
420	48.4421791
421	48.43930247
422	48.43732459
423	48.43349352
424	48.43171973
425	48.42890471
426	48.42553852
427	48.42466813
428	48.42398367
429	48.42158474
430	48.42062375
431	48.41996723
432	48.41804821
433	48.41694751
434	48.41457193
435	48.41085218
436	48.40935758
437	48.40730344
438	48.40380813
439	48.40218937
440	48.40098594
441	48.40022866
442	48.392676
443	48.39179275
444	48.39069568
445	48.3885715
446	48.38745107
447	48.3869892
448	48.38481444
449	48.3821618
450	48.37911383
451	48.37744241
452	48.37676779
453	48.37418773
454	48.36977364
455	48.36739301
456	48.36661607
457	48.36567621
458	48.36444941
459	48.36193242
460	48.35795563
461	48.35547622
462	48.35280826
463	48.35227312
464	48.34840774
465	48.34612229
466	48.34209019
467	48.34153817
468	48.33654284
469	48.33496203
470	48.33227235
471	48.33041719
472	48.3276012
473	48.32573671
474	48.32200321
475	48.31979334
476	48.31771827
477	48.31678929
478	48.31551991
479	48.31380905
480	48.31027961
481	48.3072893
482	48.30462727
483	48.3034129
484	48.30142902
485	48.30055238
486	48.2982948
487	48.29525786
488	48.29361426
489	48.29084337
490	48.28925379
491	48.28816116
492	48.28628765
493	48.28408139
494	48.28255688
495	48.2757641
496	48.27438648
497	48.27131572
498	48.26901311
499	48.26772437
500	48.26630695
501	48.2653889
502	48.26306997
503	48.26256227
504	48.26058611
505	48.25734568
506	48.25678173
507	48.25492242
508	48.25272028
509	48.25000991
510	48.24845969
511	48.2460651
512	48.24547943
513	48.24453321
514	48.242098
515	48.24132341
516	48.23910904
517	48.23619789
518	48.23413741
519	48.2334527
520	48.23306898
521	48.22991781
522	48.22824696
523	48.22713557
524	48.22508706
525	48.22308455
526	48.22094302
527	48.2185043
528	48.21525105
529	48.21468455
530	48.21213224
531	48.21033633
532	48.20964844
533	48.20790363
534	48.20710399
535	48.20434284
536	48.20161948
537	48.19741114
538	48.19546215
539	48.19432568
540	48.19300781
541	48.1908321
542	48.18972248
543	48.18647054
544	48.18500624
545	48.18467347
546	48.18381857
547	48.18320171
548	48.18093768
549	48.17808299
550	48.17634719
551	48.17519403
552	48.17400799
553	48.17286207
554	48.17104914
555	48.16901736
556	48.16576003
557	48.16493965
558	48.16330218
559	48.161175
560	48.1594092
561	48.15714058
562	48.15674836
563	48.15579182
564	48.15302651
565	48.15243573
566	48.15160134
567	48.15013365
568	48.14812079
569	48.1477047
570	48.1475196
571	48.14581885
572	48.14417205
573	48.14371375
574	48.14241321
575	48.14093043
576	48.13945197
577	48.13593739
578	48.13570984
579	48.13498297
580	48.13336154
581	48.13169616
582	48.12993104
583	48.12612977
584	48.12356618
585	48.1217898
586	48.12161729
587	48.12080848
588	48.12004426
589	48.11717173
590	48.11422778
591	48.10993107
592	48.10769264
593	48.10615662
594	48.10333422
595	48.10233229
596	48.1017779
597	48.09882633
598	48.09854948
599	48.09744375
600	48.09728689
601	48.09627729
602	48.09438301
603	48.09379609
604	48.09226861
605	48.09065378
606	48.08778377
607	48.08485525
608	48.08173292
609	48.08070993
610	48.07998806
611	48.07769142
612	48.0752565
613	48.07453446
614	48.07323056
615	48.07264727
616	48.06957234
617	48.06768416
618	48.06585533
619	48.06292938
620	48.06081788
621	48.05896342
622	48.05651152
623	48.05597538
624	48.05520274
625	48.05372699
626	48.05238274
627	48.05212334
628	48.05051714
629	48.04900221
630	48.04779561
631	48.04611288
632	48.04570799
633	48.04226979
634	48.04075361
635	48.03997993
636	48.03722617
637	48.03656849
638	48.03442216
639	48.03319988
640	48.03173147
641	48.03040793
642	48.02920187
643	48.02648119
644	48.02230775
645	48.02059738
646	48.01871711
647	48.01626141
648	48.01614156
649	48.01547827
650	48.0147521
651	48.01416171
652	48.0120678
653	48.01034791
654	48.00784231
655	48.00703105
656	48.00569222
657	48.00493497
658	48.00301222
659	48.00099937
660	47.99831395
661	47.996905
662	47.99491931
663	47.9933507
664	47.98973903
665	47.98850228
666	47.98609682
667	47.98596025
668	47.98548147
669	47.98367623
670	47.981702
671	47.9814512
672	47.97965
673	47.97951414
674	47.97832661
675	47.97609182
676	47.97538197
677	47.97379115
678	47.97280075
679	47.97135596
680	47.96909418
681	47.96711935
682	47.96503637
683	47.96380317
684	47.96192642
685	47.96139929
686	47.96042224
687	47.9602975
688	47.95864431
689	47.95630696
690	47.95579917
691	47.95559617
692	47.95368951
693	47.94987535
694	47.94886634
695	47.94791489
696	47.94586758
697	47.94443923
698	47.94210642
699	47.9411609
700	47.94013655
701	47.93890913
702	47.93724741
703	47.93606563
704	47.93461981
705	47.93313229
706	47.93170676
707	47.9306415
708	47.92888898
709	47.92720012
710	47.92547642
711	47.92120253
712	47.9196414
713	47.91830762
714	47.91704196
715	47.9151944
716	47.91329058
717	47.91288659
718	47.91118463
719	47.91025305
720	47.90831973
721	47.90719772
722	47.90600312
723	47.904301
724	47.90243325
725	47.89961464
726	47.89919384
727	47.89806721
728	47.8950902
729	47.89353327
730	47.89231618
731	47.8922124
732	47.89089956
733	47.88885623
734	47.88788223
735	47.88677438
736	47.88552566
737	47.88505522
738	47.88420796
739	47.88313026
740	47.88148765
741	47.88012359
742	47.87904833
743	47.87711158
744	47.87633318
745	47.87454143
746	47.87310343
747	47.87180194
748	47.87096853
749	47.87025078
750	47.86912513
751	47.86837847
752	47.86731666
753	47.86495348
754	47.86317714
755	47.86077197
756	47.85975471
757	47.85824125
758	47.85688309
759	47.85600445
760	47.85538782
761	47.85495682
762	47.85293518
763	47.85142384
764	47.85045548
765	47.84896215
766	47.8478312
767	47.84687217
768	47.84590113
769	47.84439504
770	47.84359214
771	47.84300205
772	47.84265244
773	47.8425712
774	47.84159798
775	47.84017085
776	47.83871461
777	47.83676943
778	47.8354421
779	47.83410614
780	47.83323985
781	47.83181966
782	47.83080923
783	47.829098
