iter	Passed	Remaining
195	2923	11992
196	2937	11971
197	2952	11958
198	2970	11956
199	2984	11938
200	2998	11918
201	3011	11896
202	3025	11877
203	3037	11853
204	3054	11843
205	3067	11823
206	3079	11798
207	3094	11781
208	3108	11763
209	3122	11746
210	3136	11727
211	3148	11702
212	3160	11678
213	3174	11658
214	3187	11639
215	3205	11634
216	3222	11627
217	3234	11601
218	3250	11590
219	3264	11574
220	3279	11558
221	3290	11531
222	3304	11513
223	3317	11494
224	3330	11470
225	3343	11451
226	3358	11437
227	3372	11418
228	3385	11399
229	3398	11377
230	3411	11358
231	3426	11344
232	3439	11321
233	3452	11303
234	3468	11292
235	3483	11277
236	3497	11260
237	3511	11242
238	3524	11222
239	3540	11211
240	3552	11189
241	3567	11174
242	3581	11158
243	3595	11138
244	3606	11114
245	3623	11107
246	3642	11103
247	3655	11085
248	3670	11071
249	3683	11051
250	3696	11030
251	3708	11008
252	3723	10993
253	3736	10972
254	3750	10957
255	3764	10940
256	3776	10919
257	3790	10902
258	3807	10892
259	3821	10876
260	3836	10861
261	3847	10838
262	3862	10822
263	3877	10809
264	3892	10795
265	3907	10782
266	3924	10774
267	3938	10756
268	3951	10737
269	3967	10727
270	3984	10717
271	3996	10697
272	4010	10679
273	4026	10667
274	4040	10653
275	4054	10636
276	4067	10616
277	4079	10593
278	4090	10572
279	4105	10557
280	4120	10542
281	4131	10519
282	4144	10501
283	4160	10488
284	4174	10472
285	4191	10463
286	4205	10448
287	4222	10437
288	4234	10418
289	4246	10396
290	4258	10375
291	4271	10356
292	4283	10336
293	4296	10316
294	4309	10298
295	4320	10276
296	4335	10261
297	4349	10245
298	4363	10230
299	4380	10220
300	4393	10202
301	4410	10192
302	4422	10174
303	4440	10166
304	4454	10150
305	4469	10137
306	4482	10118
307	4494	10098
308	4508	10081
309	4519	10060
310	4535	10047
311	4548	10028
312	4561	10012
313	4573	9992
314	4587	9976
315	4599	9955
316	4611	9935
317	4625	9919
318	4638	9902
319	4652	9886
320	4668	9874
321	4681	9856
322	4693	9838
323	4708	9823
324	4724	9812
325	4738	9797
326	4751	9778
327	4764	9760
328	4778	9746
329	4794	9733
330	4806	9714
331	4821	9700
332	4833	9682
333	4849	9670
334	4861	9651
335	4873	9630
336	4885	9611
337	4899	9595
338	4910	9574
339	4921	9553
340	4934	9537
341	4945	9515
342	4960	9502
343	4971	9481
344	4984	9463
345	4998	9448
346	5012	9433
347	5027	9418
348	5042	9405
349	5057	9392
350	5069	9373
351	5084	9359
352	5097	9343
353	5109	9324
354	5121	9304
355	5136	9291
356	5147	9270
357	5159	9252
358	5174	9239
359	5189	9225
360	5205	9214
361	5219	9198
362	5234	9185
363	5247	9168
364	5261	9153
365	5274	9136
366	5290	9124
367	5302	9106
368	5319	9097
369	5332	9080
370	5347	9066
371	5364	9056
372	5377	9039
373	5391	9025
374	5408	9014
375	5420	8996
376	5433	8979
377	5446	8962
378	5462	8951
379	5476	8935
380	5487	8915
381	5503	8902
382	5516	8887
383	5528	8868
384	5541	8851
385	5555	8836
386	5567	8818
387	5579	8801
388	5591	8783
389	5604	8766
390	5616	8747
391	5628	8730
392	5640	8712
393	5651	8692
394	5662	8673
395	5676	8658
396	5689	8642
397	5702	8625
398	5713	8606
399	5726	8589
400	5738	8571
401	5749	8552
402	5760	8534
403	5775	8520
404	5787	8502
405	5805	8493
406	5823	8485
407	5838	8471
408	5850	8454
409	5862	8436
410	5875	8420
411	5888	8404
412	5903	8390
413	5915	8372
414	5928	8357
415	5940	8339
416	5957	8329
417	5969	8312
418	5982	8295
419	6001	8287
420	6015	8272
421	6027	8256
422	6042	8242
423	6060	8232
424	6072	8216
425	6088	8203
426	6104	8191
427	6116	8174
428	6127	8155
429	6141	8140
430	6152	8122
431	6164	8105
432	6177	8089
433	6189	8072
434	6203	8057
435	6218	8043
436	6230	8026
437	6244	8012
438	6261	8001
439	6273	7984
440	6285	7967
441	6299	7953
442	6313	7938
443	6324	7919
444	6335	7902
445	6348	7886
446	6360	7869
447	6372	7851
448	6386	7837
449	6401	7824
450	6413	7806
451	6426	7790
452	6438	7774
453	6454	7762
454	6468	7747
455	6480	7731
456	6494	7716
457	6505	7699
458	6519	7684
459	6533	7669
460	6545	7653
461	6559	7638
462	6572	7622
463	6583	7605
464	6598	7591
465	6612	7576
466	6627	7563
467	6639	7547
468	6654	7534
469	6667	7518
470	6680	7503
471	6696	7490
472	6709	7475
473	6722	7460
474	6737	7446
475	6749	7430
476	6763	7415
477	6776	7400
478	6787	7382
479	6800	7366
480	6814	7352
481	6829	7339
482	6845	7326
483	6858	7312
484	6871	7296
485	6883	7280
486	6899	7267
487	6916	7257
488	6929	7241
489	6942	7226
490	6955	7210
491	6969	7195
492	6983	7181
493	6995	7165
494	7008	7150
495	7022	7135
496	7034	7119
497	7048	7105
498	7062	7090
499	7076	7076
500	7088	7059
501	7099	7043
502	7113	7028
503	7126	7013
504	7142	7001
505	7155	6985
506	7167	6969
507	7180	6954
508	7192	6938
509	7205	6922
510	7217	6907
511	7232	6893
512	7244	6877
513	7256	6861
514	7270	6846
515	7282	6830
516	7296	6816
517	7311	6803
518	7324	6787
519	7335	6771
520	7346	6754
521	7358	6738
522	7371	6722
523	7383	6707
524	7397	6693
525	7411	6678
526	7426	6665
527	7439	6650
528	7455	6637
529	7467	6622
530	7481	6607
531	7497	6595
532	7508	6578
533	7523	6565
534	7538	6551
535	7552	6537
536	7568	6525
537	7583	6512
538	7597	6497
539	7612	6485
540	7626	6470
541	7642	6458
542	7657	6444
543	7671	6430
544	7686	6417
545	7697	6400
546	7711	6386
547	7723	6370
548	7737	6356
549	7751	6341
550	7764	6327
551	7779	6314
552	7791	6297
553	7803	6282
554	7815	6266
555	7829	6252
556	7841	6236
557	7854	6221
558	7870	6208
559	7883	6194
560	7896	6179
561	7909	6164
562	7921	6148
563	7933	6132
564	7948	6119
565	7962	6105
566	7975	6090
567	7992	6078
568	8010	6067
569	8022	6052
570	8034	6036
571	8047	6021
572	8060	6006
573	8072	5991
574	8086	5977
575	8099	5962
576	8112	5947
577	8128	5934
578	8140	5918
579	8154	5904
580	8167	5890
581	8180	5875
582	8193	5860
583	8208	5847
584	8221	5832
585	8234	5817
586	8245	5801
587	8259	5787
588	8271	5771
589	8285	5757
590	8298	5743
591	8310	5727
592	8324	5713
593	8336	5697
594	8350	5683
595	8362	5668
596	8373	5652
597	8385	5637
598	8397	5621
599	8410	5606
600	8421	5591
601	8433	5575
602	8448	5562
603	8459	5546
604	8476	5534
605	8489	5519
606	8506	5507
607	8521	5493
608	8535	5480
609	8547	5464
610	8558	5448
611	8571	5433
612	8583	5418
613	8596	5404
614	8609	5389
615	8621	5374
616	8636	5361
617	8652	5348
618	8666	5334
619	8679	5319
620	8693	5305
621	8707	5291
622	8723	5279
623	8734	5263
624	8746	5247
625	8758	5232
626	8772	5218
627	8783	5202
628	8795	5187
629	8809	5173
630	8822	5159
631	8835	5144
632	8847	5129
633	8863	5116
634	8875	5101
635	8887	5086
636	8899	5071
637	8913	5057
638	8928	5044
639	8942	5029
640	8956	5016
641	8969	5001
642	8983	4987
643	8996	4973
644	9012	4960
645	9025	4946
646	9041	4932
647	9054	4918
648	9066	4903
649	9078	4888
650	9089	4873
651	9101	4857
652	9114	4843
653	9128	4829
654	9141	4815
655	9156	4801
656	9168	4786
657	9179	4771
658	9197	4759
659	9210	4744
660	9223	4730
661	9235	4715
662	9248	4700
663	9263	4687
664	9280	4675
665	9295	4661
666	9310	4648
667	9321	4632
668	9332	4617
669	9345	4602
670	9364	4591
671	9376	4576
672	9390	4562
673	9401	4547
674	9414	4533
675	9428	4519
676	9442	4505
677	9457	4491
678	9469	4476
679	9482	4462
680	9498	4449
681	9510	4434
682	9522	4419
683	9536	4405
684	9549	4391
685	9561	4376
686	9573	4361
687	9584	4346
688	9600	4333
689	9615	4319
690	9627	4304
691	9637	4289
692	9650	4275
693	9666	4262
694	9681	4248
695	9694	4234
696	9853	4283
697	9930	4296
698	9958	4288
699	9974	4274
700	9993	4262
701	10007	4248
702	10030	4237
703	10077	4236
704	10214	4273
705	10236	4262
706	10252	4248
707	10266	4234
708	10284	4221
709	10300	4207
710	10316	4193
711	10384	4200
712	10402	4187
713	10415	4172
714	10428	4156
715	10442	4142
716	10510	4148
717	10684	4196
718	10709	4185
719	10725	4171
720	10744	4157
721	10764	4144
722	10781	4130
723	10832	4129
724	10851	4116
725	10869	4102
726	10897	4092
727	10923	4081
728	10947	4069
729	10998	4067
730	11029	4058
731	11046	4044
732	11076	4034
733	11098	4021
734	11119	4009
735	11149	3999
736	11175	3988
737	11195	3974
738	11224	3964
739	11250	3952
740	11272	3940
741	11313	3933
742	11332	3920
743	11357	3908
744	11377	3894
745	11397	3880
746	11424	3869
747	11445	3855
748	11474	3845
749	11497	3832
750	11514	3817
751	11535	3804
752	11558	3791
753	11576	3776
754	11601	3764
755	11626	3752
756	11643	3737
757	11668	3725
758	11686	3710
759	11716	3700
760	11742	3687
761	11767	3675
762	11785	3660
763	11807	3647
764	11822	3631
765	11849	3619
766	11876	3607
767	11895	3593
768	11919	3580
769	11936	3565
770	11961	3552
771	11975	3536
772	11998	3523
773	12017	3509
774	12034	3493
775	12058	3480
776	12074	3465
777	12095	3451
778	12120	3438
779	12147	3426
780	12164	3411
781	12182	3396
782	12203	3382
783	12228	3369
784	12254	3356
785	12269	3340
786	12294	3327
787	12312	3312
788	12338	3299
789	12360	3285
790	12380	3271
791	12406	3258
792	12432	3245
793	12461	3233
794	12477	3217
795	12496	3202
796	12518	3188
797	12532	3172
798	12558	3159
799	12572	3143
800	12597	3129
801	12625	3117
802	12649	3103
803	12665	3087
804	12687	3073
805	12702	3057
806	12724	3043
807	12755	3030
808	12779	3017
809	12794	3001
810	12817	2987
811	12831	2970
812	12855	2957
813	12876	2942
814	12898	2927
815	12915	2912
816	12939	2898
817	12962	2884
818	12984	2869
819	13008	2855
820	13026	2840
821	13055	2827
822	13079	2812
823	13093	2796
824	13115	2782
825	13133	2766
826	13158	2752
827	13186	2739
828	13205	2724
829	13225	2708
830	13248	2694
831	13272	2680
832	13290	2664
833	13310	2649
834	13327	2633
835	13351	2619
836	13367	2603
837	13392	2589
838	13408	2572
839	13430	2558
840	13443	2541
841	13471	2527
842	13511	2516
843	13532	2501
844	13556	2486
845	13571	2470
846	13599	2456
847	13622	2441
848	13656	2428
849	13668	2412
850	13690	2397
851	13706	2380
852	13730	2366
853	13744	2349
854	13766	2334
855	13781	2318
856	13806	2303
857	13822	2287
858	13848	2273
859	13874	2258
860	13899	2244
861	13915	2227
862	13934	2212
863	13950	2195
864	13975	2181
865	13992	2165
866	14014	2149
867	14031	2133
868	14057	2119
869	14074	2103
870	14096	2087
871	14114	2071
872	14140	2057
873	14156	2040
874	14177	2025
875	14192	2008
876	14214	1993
877	14231	1977
878	14254	1962
879	14268	1945
880	14291	1930
881	14317	1915
882	14332	1899
883	14356	1883
884	14376	1868
885	14396	1852
886	14422	1837
887	14436	1820
888	14458	1805
889	14473	1788
890	14500	1773
891	14524	1758
892	14539	1742
893	14564	1726
894	14588	1711
895	14606	1695
896	14626	1679
897	14644	1663
898	14671	1648
899	14702	1633
900	14719	1617
901	14735	1601
902	14761	1585
903	14779	1569
904	14805	1554
905	14825	1538
906	14853	1523
907	14880	1507
908	14899	1491
909	14927	1476
910	14941	1459
911	14967	1444
912	14983	1427
913	15006	1411
914	15020	1395
915	15045	1379
916	15059	1363
917	15080	1347
918	15093	1330
919	15118	1314
920	15134	1298
921	15161	1282
922	15174	1265
923	15198	1250
924	15212	1233
925	15235	1217
926	15251	1201
927	15263	1184
928	15278	1167
929	15295	1151
930	15312	1134
931	15332	1118
932	15345	1101
933	15362	1085
934	15377	1069
935	15393	1052
936	15407	1035
937	15424	1019
938	15439	1002
939	15451	986
940	15466	969
941	15481	953
942	15497	936
943	15510	920
944	15525	903
945	15537	886
946	15549	870
947	15564	853
948	15575	837
949	15589	820
950	15601	803
951	15616	787
952	15632	770
953	15646	754
954	15660	737
955	15671	721
956	15682	704
957	15695	688
958	15709	671
959	15723	655
960	15736	638
961	15751	622
962	15762	605
963	15776	589
964	15788	572
965	15802	556
966	15817	539
967	15829	523
968	15840	506
969	15855	490
970	15868	473
971	15880	457
972	15893	441
973	15905	424
974	15917	408
975	15929	391
976	15940	375
977	15955	358
978	15970	342
979	15984	326
980	16000	309
981	16012	293
982	16025	277
983	16038	260
984	16053	244
985	16066	228
986	16080	211
987	16091	195
988	16105	179
989	16116	162
990	16131	146
991	16144	130
992	16157	113
993	16170	97
994	16186	81
995	16200	65
996	16211	48
997	16224	32
998	16236	16
999	16248	0
